Token,Frequency
lawyer,78
implement,78
independent,78
session,78
approved,77
received,76
food,76
reproductive,76
considered,76
provider,76
icc,76
hostility,75
adequate,75
covered,75
lugansk,75
reason,75
likely,74
workplace,74
relative,74
therefore,74
requirement,74
residence,74
team,74
evaluation,74
province,74
border,73
consent,73
required,73
targeted,73
like,73
statement,73
subject,73
knowledge,73
second,73
abortion,73
sexism,73
technical,72
commissioner,72
inter,72
unhcr,72
ou,72
being,72
minor,72
assembly,71
better,71
caused,71
receive,71
cultural,71
potential,71
become,71
identify,71
partnership,71
student,70
created,70
guarantee,70
half,70
prepared,70
benefit,70
bosnia,70
almost,70
bih,70
subjected,69
charge,69
company,69
concerning,69
feel,69
istanbul,68
similar,68
thus,68
quality,68
progress,68
minority,67
majority,67
yet,67
around,67
early,67
whether,67
sanction,67
stakeholder,67
aux,67
market,67
content,66
multiple,66
amount,66
sport,66
go,66
implementing,66
osce,66
migration,66
importance,66
approval,66
ii,65
led,65
large,65
cause,65
geneva,65
outside,65
although,65
know,65
identity,65
judge,65
long,65
secretary,65
joint,65
état,65
behaviour,65
drl,65
opinion,64
scale,64
remain,64
issued,64
perpetrated,64
interest,64
statute,64
improve,64
future,64
sensitive,64
barrier,64
recent,64
supporting,64
démocratie,64
ordination,64
suffered,64
instrument,64
empowerment,64
unfpa,64
iom,64
collaboration,63
restriction,63
front,63
get,63
called,63
rom,63
truth,62
comment,62
pattern,62
grant,62
developing,62
lead,62
understanding,62
contre,62
reformsgenderbased,62
g,61
resident,61
defence,61
six,61
give,61
difficult,61
matter,61
increasing,61
genocide,61
inclusion,61
guidance,61
itjp,61
punishment,60
identified,60
factor,60
teacher,60
entitled,60
transitional,60
pregnancy,60
consultation,60
respond,60
self,60
norm,60
oblasts,60
interior,59
definition,59
known,59
healthcare,59
specialised,59
detained,59
accommodation,59
best,59
rehabilitation,59
task,59
common,59
psychologist,59
ibid,59
orientation,59
armenia,59
pow,58
kherson,58
entered,58
alleged,58
informed,58
week,58
complaint,58
list,58
step,58
violent,58
recovery,58
indicator,58
légalité,58
été,58
remains,57
injured,57
property,57
primary,57
business,57
democratic,57
registration,57
governmental,57
low,57
model,57
prevalence,57
anti,57
hommes,57
casualty,56
throughout,56
later,56
hour,56
told,56
supported,56
duty,56
presence,56
news,56
gang,56
addressing,56
romania,56
avec,56
enforced,55
interviewed,55
cent,55
aspect,55
percent,55
commitment,55
assist,55
needed,55
representation,55
poland,55
nd,55
diversity,55
applied,55
gsf,55
submitted,55
village,54
trial,54
open,54
older,54
beginning,54
signed,54
money,54
engagement,54
aggression,54
lower,54
presented,54
religious,54
directorate,54
close,54
creation,54
workshop,54
statistic,54
phenomenon,54
space,53
cover,53
prior,53
whose,53
luhansk,53
mother,53
clear,53
essential,53
video,53
despite,53
previous,53
manner,53
urgent,53
welfare,53
relationship,53
sample,53
job,53
methodology,52
liberty,52
controlled,52
hrmmu,52
noted,52
date,52
much,52
specialist,52
w,52
rural,52
speech,52
identification,52
lhomme,52
annual,52
funded,52
phase,52
zaporizhzhya,52
transfer,51
jurisdiction,51
single,51
investigate,51
humanity,51
register,51
raise,51
facilitate,51
trust,51
integrated,51
se,51
budgeting,51
entre,51
h,50
recorded,50
left,50
ihl,50
stated,50
faced,50
discussed,50
covid,50
eg,50
thousand,50
thing,50
deal,50
balanced,50
intimate,50
score,50
movement,49
arbitrary,49
adult,49
dnipropetrovsk,49
board,49
mobile,49
live,49
additionally,49
participated,49
digital,49
referred,49
please,49
mass,49
trained,49
platform,49
contribute,49
skill,49
vulnerability,49
design,49
inequality,49
critical,48
infrastructure,48
concerned,48
stage,48
continues,48
establish,48
army,48
hate,48
foundation,48
examination,48
background,48
final,48
reception,48
dune,48
execution,47
directly,47
discriminatory,47
meet,47
district,47
relating,47
head,47
start,47
collective,47
judiciary,47
along,47
though,47
participating,47
asset,47
civic,46
fundamental,46
checkpoint,46
hand,46
treaty,46
furthermore,46
involvement,46
parental,46
effectively,46
absence,46
collection,46
improving,46
negative,46
ed,46
focused,46
north,46
perception,46
municipality,46
changements,46
summary,45
iv,45
killing,45
expression,45
introduction,45
ten,45
might,45
commander,45
lesson,45
want,45
show,45
ethnic,45
leadership,45
grevio,45
balance,45
deputy,45
guide,45
ipv,45
prisoner,44
wide,44
allegation,44
occurred,44
overall,44
death,44
pursuant,44
follow,44
category,44
confirmed,44
adoption,44
distribution,44
formation,44
advice,44
reach,44
started,44
value,44
planning,44
assault,44
climate,44
anova,44
iii,43
destruction,43
disappearance,43
figure,43
old,43
believe,43
series,43
affect,43
introduced,43
back,43
post,43
conference,43
understand,43
sustainable,43
immediate,43
est,43
solution,43
dealing,43
south,43
academy,43
pilot,43
moldova,43
serbia,43
belief,42
vi,42
range,42
actual,42
element,42
settlement,42
initiated,42
science,42
expressed,42
link,42
friend,42
consider,42
judgment,42
inquiry,42
press,42
consideration,42
addressed,42
characteristic,42
explosive,41
resulted,41
yearold,41
method,41
compliance,41
chernihiv,41
watch,41
participate,41
positive,41
inform,41
timely,41
ability,41
improvement,41
sexually,41
enhance,41
tamil,41
offer,41
concept,41
bill,41
rescore,41
religion,40
numerous,40
former,40
described,40
shared,40
cross,40
involving,40
function,40
constitute,40
separate,40
agreed,40
return,40
gross,40
detailed,40
donbas,40
reference,40
greater,40
kramatorsk,40
carry,40
seminar,40
possibility,40
dedicated,40
instruction,40
dont,40
short,40
snapshot,40
think,40
candidate,40
dimension,40
career,40
resulting,40
politics,40
que,40
conclusion,39
territorial,39
mostly,39
prohibition,39
widespread,39
applicable,39
stigma,39
parliamentary,39
penalty,39
dignity,39
say,39
english,39
allow,39
cabinet,39
minimum,39
rather,39
german,39
demand,39
fight,39
competent,39
sphere,39
rome,39
dated,39
malta,39
monitor,38
visit,38
significantly,38
ie,38
town,38
prison,38
find,38
learned,38
exchange,38
updated,38
accessible,38
tolerance,38
directive,38
competence,38
trend,38
leading,38
granted,38
specialized,38
sudan,38
fleeing,38
permanent,38
sensibilisation,38
engaged,37
detail,37
loss,37
specifically,37
threatened,37
unable,37
generally,37
operational,37
donor,37
require,37
elimination,37
declaration,37
division,37
aged,37
aware,37
agenda,37
sgbv,37
director,37
systematic,37
born,37
cadre,37
emotional,37
encourage,37
questionnaire,37
ont,37
strengthened,37
detainee,36
ratification,36
damaged,36
proof,36
requires,36
internet,36
enable,36
wartime,36
placed,36
eight,36
receiving,36
wife,36
appeal,36
amnesty,36
dialogue,36
foreigner,36
forward,36
far,36
discus,36
host,36
performance,36
servant,36
ing,36
electoral,36
claim,36
origin,36
elected,36
appointed,36
refer,36
carrying,36
samgov,36
cette,36
sont,36
politiques,36
affecting,35
targeting,35
fighting,35
small,35
lived,35
zaporizhzhia,35
stress,35
ass,35
frequency,35
doctor,35
remained,35
integrity,35
seen,35
operating,35
planned,35
associated,35
curriculum,35
imprisonment,35
limitation,35
didnt,35
beneficiary,35
procedural,35
burden,35
create,35
inclusive,35
expertise,35
story,35
feeling,35
pregnant,35
mandate,35
advance,35
adopt,35
prime,35
interim,35
trade,35
plus,35
arrest,34
allowed,34
seven,34
hold,34
exercise,34
sign,34
brought,34
location,34
next,34
immediately,34
kind,34
connection,34
payment,34
constitutional,34
longer,34
nothing,34
wellbeing,34
senior,34
preventive,34
preparation,34
ca,34
owing,34
objectif,34
loi,34
fédéral,34
regardless,33
unaccompanied,33
prosecute,33
pension,33
confidentiality,33
light,33
near,33
thematic,33
transferred,33
son,33
talk,33
accused,33
became,33
influence,33
estimated,33
publication,33
leader,33
forum,33
stop,33
establishing,33
difference,33
build,33
creating,33
governance,33
extent,33
recognition,33
paid,33
http,33
dun,33
hungary,33
defines,33
executive,32
object,32
expected,32
passed,32
perceived,32
engage,32
observed,32
via,32
investigator,32
previously,32
whole,32
contains,32
race,32
chapter,32
sexualviolence,32
past,32
revealed,32
reduce,32
component,32
insecurity,32
er,32
leur,32
lutte,32
illtreatment,31
met,31
highest,31
harmful,31
supply,31
fully,31
unlawful,31
usually,31
release,31
speak,31
sentence,31
father,31
camp,31
began,31
volunteer,31
enter,31
obtain,31
crossing,31
protecting,31
availability,31
permit,31
demonstrate,31
done,31
sense,31
improved,31
marital,31
dv,31
recherche,31
campagne,31
projets,31
childcare,31
austria,31
berdyansk,31
severely,30
destroyed,30
lost,30
journalist,30
suffering,30
always,30
fled,30
formal,30
sharing,30
penal,30
stay,30
complete,30
panel,30
linked,30
aggressor,30
mandatory,30
diverse,30
express,30
reconstruction,30
uk,30
effectiveness,30
ng,30
finance,30
conducting,30
delivery,30
seeker,30
journal,30
listed,30
personnes,30
respectively,30
verified,29
residential,29
occupying,29
identifying,29
comply,29
alia,29
amended,29
protected,29
forensic,29
released,29
move,29
approximately,29
voluntary,29
came,29
average,29
recently,29
advocacy,29
alone,29
narrative,29
practical,29
tion,29
honour,29
postwar,29
drug,29
electronic,29
learning,29
pa,29
site,29
constitution,29
prejudice,29
submit,29
hotline,29
completed,29
travail,29
mise,29
marginalised,29
bullying,29
guard,28
nationality,28
offense,28
conviction,28
record,28
indiscriminate,28
sufficient,28
water,28
regular,28
applying,28
illegal,28
sometimes,28
room,28
happened,28
loved,28
functioning,28
entry,28
supreme,28
word,28
regularly,28
instead,28
radio,28
j,28
gendered,28
intended,28
red,28
announced,28
impunity,28
abroad,28
satisfaction,28
disaggregated,28
statistical,28
danger,28
pandemic,28
responsive,28
bulgaria,28
publiques,28
composition,28
selected,28
unemployed,28
swedish,28
k,27
entire,27
autonomous,27
affiliated,27
temporarily,27
imposed,27
directed,27
exposed,27
tried,27
attempt,27
someone,27
ordered,27
update,27
avoid,27
zone,27
relief,27
accessing,27
test,27
italy,27
fullscale,27
outcome,27
efficient,27
beyond,27
image,27
history,27
appointment,27
universal,27
slavery,27
paper,27
spouse,27
birth,27
ation,27
congo,27
ethical,27
overview,27
macedonia,27
magistrate,27
stratégique,27
victimes,27
profession,27
pre,27
preliminary,27
bosnian,27
initial,26
church,26
collected,26
limit,26
land,26
warning,26
shot,26
commit,26
either,26
offered,26
idea,26
blue,26
play,26
actively,26
severe,26
moment,26
broken,26
night,26
western,26
rapid,26
reintegration,26
submission,26
considering,26
difficulty,26
collect,26
quarter,26
message,26
emerging,26
look,26
meaningful,26
corruption,26
criterion,26
financing,26
complex,26
failure,26
away,26
daily,26
moral,26
expectation,26
percentage,26
extreme,26
prostitution,26
cets,26
victimisation,26
profile,26
programming,26
coping,26
novembre,26
communauté,26
française,26
married,26
size,26
ngca,26
street,25
convicted,25
mariupol,25
afford,25
troop,25
captivity,25
beating,25
suggested,25
survived,25
publicly,25
asked,25
grave,25
lviv,25
explicitly,25
elderly,25
bring,25
redress,25
st,25
lgbtqi,25
advocate,25
run,25
larger,25
mitigation,25
regulatory,25
ion,25
avenue,25
reprisal,25
east,25
coming,25
highlight,25
manifestation,25
multi,25
highlighted,25
choice,25
croatia,25
gouvernement,25
il,25
matière,25
flemish,25
anxiety,25
ratificationaccession,25
refers,24
notably,24
fair,24
reliable,24
reasonable,24
hit,24
reached,24
attempted,24
martial,24
tortured,24
sent,24
scheme,24
going,24
direction,24
decided,24
estimate,24
liability,24
offender,24
defined,24
opened,24
manual,24
behind,24
germany,24
herzegovina,24
module,24
disorder,24
achieving,24
top,24
reconciliation,24
coalition,24
innovation,24
reparative,24
livelihood,24
notification,24
heightened,24
clinic,24
cluster,24
audit,24
romanian,24
mesures,24
finland,24
anyone,24
ordinators,24
stéréotypes,24
conseil,24
ordinating,24
continuous,24
swg,24
cssfcy,24
strike,23
deprivation,23
defender,23
behalf,23
leaving,23
prosecuted,23
sbu,23
degrading,23
search,23
facing,23
draw,23
determination,23
vast,23
rise,23
customary,23
feature,23
channel,23
accession,23
name,23
late,23
serve,23
disease,23
ill,23
independence,23
file,23
secretarygeneral,23
statutory,23
poverty,23
audio,23
treated,23
inside,23
economy,23
bar,23
successful,23
resilience,23
pro,23
na,23
structural,23
traditional,23
nearly,23
tactic,23
employed,23
designated,23
round,23
granting,23
centred,23
hiv,23
changed,23
hatred,23
user,23
option,23
frequently,22
thereby,22
cruel,22
maintain,22
base,22
revised,22
missile,22
mine,22
icrc,22
consulted,22
concrete,22
covenant,22
mainly,22
serviceman,22
perform,22
something,22
breach,22
wish,22
enough,22
teaching,22
testimony,22
real,22
changing,22
advertising,22
advisory,22
membership,22
raised,22
intimidation,22
depending,22
atrocity,22
zelenskyy,22
childrens,22
agree,22
indirect,22
crucial,22
pr,22
echr,22
responding,22
introducing,22
euro,22
holistic,22
surveyed,22
suffer,22
dynamic,22
finally,22
growing,22
deep,22
sub,22
genital,22
major,22
intentional,22
impossible,22
refuge,22
murder,22
expanded,22
alliance,22
décembre,22
stem,22
commissioned,22
translated,22
œuvre,22
gea,22
italian,22
slovakia,22
demographic,22
ato,22
arrested,21
beaten,21
obtained,21
database,21
attributed,21
iccpr,21
strong,21
suspected,21
beat,21
heard,21
forcibly,21
pathway,21
custody,21
returned,21
determined,21
pressure,21
intelligence,21
basement,21
municipal,21
affiliation,21
periodic,21
represented,21
sought,21
ﬁrst,21
researcher,21
lot,21
tv,21
activist,21
neighbouring,21
author,21
abduction,21
investigating,21
aiming,21
elaboration,21
designed,21
written,21
highly,21
train,21
alcohol,21
exist,21
restitution,21
cycle,21
mar,21
episode,21
nt,21
nonstate,21
adolescent,21
pm,21
sweden,21
prise,21
vocational,21
wage,21
interviewer,21
severodonetsk,21
resistance,20
assessed,20
governmentcontrolled,20
ratified,20
vehicle,20
sumy,20
deprived,20
otherwise,20
station,20
telephone,20
saw,20
tell,20
recognised,20
excluded,20
mention,20
opening,20
medicine,20
proportion,20
decisionmaking,20
existence,20
cohesion,20
enabling,20
sustained,20
urge,20
prosecuting,20
zero,20
hundred,20
starting,20
longterm,20
obtaining,20
indicated,20
reduction,20
reality,20
try,20
begin,20
answer,20
s,20
voice,20
coordinate,20
technology,20
transparency,20
csos,20
visual,20
sast,20
desk,20
feedback,20
decade,20
flee,20
attend,20
survival,20
giving,20
expand,20
depression,20
ex,20
minsk,20
militia,20
attended,20
headed,20
abuser,20
hotlines,20
niveau,20
doivent,20
sectoral,20
sexist,20
ainsi,20
regulated,20
lgbt,20
accessibility,20
nursery,20
bi,20
gca,20
little,19
cash,19
inhuman,19
uoc,19
follows,19
shelling,19
arm,19
couple,19
daughter,19
side,19
holding,19
nevertheless,19
delivered,19
followed,19
pretrial,19
widely,19
repeated,19
tie,19
allowing,19
letter,19
citizenship,19
requested,19
separation,19
fine,19
uniform,19
transmitted,19
television,19
recruitment,19
turn,19
determine,19
command,19
exposure,19
contraception,19
enhancing,19
punish,19
expense,19
insight,19
today,19
spread,19
everything,19
clearly,19
unicef,19
afraid,19
veteran,19
everyone,19
collecting,19
rada,19
jointly,19
enhanced,19
advancing,19
ne,19
adaptation,19
disclosure,19
wider,19
stigmatization,19
primarily,19
clinical,19
surviving,19
ensures,19
normative,19
coercion,19
occur,19
specified,19
ent,19
incidence,19
detection,19
handling,19
m,19
define,19
proper,19
fourth,19
choose,19
annually,19
recommended,19
promoted,19
latest,19
strada,19
distributed,19
toutes,19
stipulates,19
intercourse,19
notamment,19
femicide,19
edition,19
registry,19
ocha,19
energy,18
combatant,18
socalled,18
namely,18
organized,18
sentenced,18
documenting,18
pending,18
involve,18
wounded,18
broad,18
obstacle,18
refused,18
wound,18
separated,18
nudity,18
guardian,18
allegedly,18
travel,18
extended,18
phone,18
belonging,18
defendant,18
uah,18
located,18
vote,18
hearing,18
indeed,18
contribution,18
allowance,18
encouraging,18
nine,18
extensive,18
transport,18
ever,18
theme,18
visible,18
sexuality,18
never,18
feminist,18
focusing,18
committing,18
empower,18
extremely,18
drafting,18
selection,18
verkhovna,18
ensured,18
academic,18
cyber,18
ad,18
competition,18
sea,18
pain,18
gain,18
challenging,18
mutilation,18
analyse,18
persistent,18
pillar,18
white,18
ireland,18
capital,18
kit,18
superior,18
recipient,18
sam,18
comme,18
scolaire,18
afin,18
coercive,18
anes,18
unga,18
cohens,18
srhr,18
fig,18
toll,17
impacted,17
propose,17
deportation,17
punishable,17
defense,17
integrate,17
applies,17
meaning,17
ban,17
deemed,17
maternity,17
cut,17
mitigate,17
advantage,17
facto,17
ihrl,17
entering,17
reflected,17
went,17
film,17
dozen,17
foster,17
residing,17
ombudsman,17
learn,17
generation,17
promotes,17
outlined,17
regarded,17
notice,17
largest,17
prompt,17
nongovernmental,17
poor,17
consistent,17
respective,17
arrangement,17
worked,17
memory,17
putin,17
fall,17
quite,17
bomb,17
persecution,17
shown,17
qualification,17
guiding,17
supervision,17
returnees,17
deliver,17
mi,17
assessing,17
awarded,17
largely,17
lankan,17
counter,17
felt,17
cedaw,17
explained,17
manage,17
achievement,17
traumatic,17
gravity,17
version,17
natural,17
demonstrated,17
divided,17
acceptance,17
poster,17
protest,17
shock,17
socioeconomic,17
rapport,17
attacked,17
regime,17
ministerial,17
ethnicity,17
labor,17
survivorcentered,17
racial,17
qualitative,17
looking,17
greece,17
azerbaijan,17
envisaged,17
législatifs,17
traitement,17
sexe,17
domestique,17
fille,17
austrian,17
masculinity,17
harcèlement,17
gcrs,17
gazette,17
retrieved,17
physically,17
stressed,17
centered,17
helpful,17
denied,16
welcome,16
enjoy,16
lysychansk,16
contributing,16
laid,16
assisting,16
bureau,16
witnessed,16
asking,16
privacy,16
duration,16
acting,16
memorandum,16
monthly,16
dependent,16
quota,16
denial,16
accordingly,16
thought,16
trying,16
terrorism,16
marta,16
queer,16
humiliation,16
bodily,16
indicates,16
mistrust,16
accompanied,16
unwanted,16
ordinary,16
croatian,16
ambassador,16
congress,16
vetting,16
toward,16
pe,16
fo,16
managing,16
ic,16
integrating,16
acknowledgement,16
notion,16
recognized,16
lgbti,16
victimsurvivor,16
equally,16
fee,16
path,16
quantitative,16
recognise,16
causing,16
hub,16
mai,16
groupe,16
aggravated,16
leurs,16
juin,16
prevalent,16
item,16
portal,16
add,16
route,16
county,16
sdg,16
leaflet,16
brochure,16
obliged,16
sexisme,16
dégalité,16
socio,16
sein,16
flanders,16
comité,16
bihmhrr,16
gsdfpge,16
car,16
reuters,16
sv,16
heavy,15
ahrc,15
orthodox,15
gathered,15
dnipro,15
claimed,15
represent,15
remove,15
prohibited,15
prohibits,15
indicate,15
closed,15
becoming,15
charter,15
neither,15
missing,15
lasting,15
cooperate,15
sleep,15
charged,15
ask,15
serving,15
northern,15
autumn,15
pas,15
presidential,15
bank,15
delay,15
remaining,15
contract,15
testify,15
lacking,15
guilt,15
confinement,15
amending,15
establishes,15
let,15
performing,15
investigative,15
geographical,15
insufficient,15
covering,15
elsewhere,15
allocated,15
save,15
punished,15
emphasize,15
mp,15
break,15
easily,15
polish,15
assaulted,15
email,15
hereinafter,15
achieved,15
ar,15
reducing,15
tional,15
broader,15
innovative,15
con,15
dr,15
client,15
gathering,15
examine,15
unequal,15
occurring,15
diligence,15
ordinated,15
dispute,15
operate,15
contain,15
reflect,15
mali,15
exacerbated,15
colombia,15
remote,15
rising,15
der,15
drawing,15
reinforced,15
stand,15
accept,15
continuation,15
web,15
emphasis,15
package,15
produced,15
ge,15
assigned,15
prévenir,15
prévention,15
professionnels,15
cet,15
sexuelle,15
sexuelles,15
politique,15
disposition,15
salary,15
scfwca,15
pénal,15
pupil,15
panellist,15
acknowledgment,15
volodymyr,15
eussi,15
theft,15
chronic,14
credible,14
populated,14
assignment,14
soon,14
medication,14
apartment,14
appear,14
unless,14
guaranteed,14
custom,14
adapted,14
nearby,14
dead,14
fsb,14
forcing,14
clothes,14
reunification,14
personally,14
undertake,14
insurance,14
earlier,14
guilty,14
acknowledged,14
threatening,14
requesting,14
tied,14
rent,14
eliminate,14
justification,14
transition,14
concluded,14
protective,14
continuing,14
chamber,14
commercial,14
encouraged,14
undp,14
confidential,14
check,14
auspex,14
creates,14
latter,14
bear,14
bucha,14
neighboring,14
inukraine,14
keep,14
mind,14
homme,14
subsequent,14
added,14
com,14
offering,14
steering,14
secure,14
methodological,14
coverage,14
expanding,14
activism,14
processing,14
contrast,14
capture,14
invited,14
mutual,14
recognising,14
engaging,14
dissemination,14
visitation,14
occurrence,14
adviser,14
tribunal,14
suppression,14
hence,14
raping,14
ons,14
frozen,14
requiring,14
psi,14
enterprise,14
format,14
disseminated,14
latvia,14
unpaid,14
projet,14
publique,14
autres,14
institutionnels,14
décision,14
données,14
équilibrée,14
getting,14
procurement,14
mayor,14
titre,14
ordinate,14
showed,14
finnish,14
restorative,14
principauté,14
counteracting,14
bird,14
believed,14
canada,14
partnered,14
penitentiary,13
suspicion,13
interrogation,13
legally,13
variety,13
usual,13
decrease,13
launch,13
bound,13
patient,13
cease,13
flow,13
served,13
reportedly,13
twice,13
crimean,13
escape,13
visited,13
moscow,13
failed,13
neighbour,13
exception,13
typically,13
except,13
partially,13
text,13
reading,13
hard,13
intent,13
exceed,13
scientific,13
normal,13
q,13
undertaken,13
headquarters,13
billion,13
conﬂict,13
inthe,13
hope,13
falling,13
accepted,13
societal,13
happening,13
saying,13
underreported,13
debate,13
really,13
prove,13
fostering,13
timeline,13
disseminate,13
interpretation,13
ty,13
massive,13
manager,13
industry,13
informal,13
reviewed,13
transgender,13
healing,13
class,13
interviewing,13
rapporteur,13
constant,13
forth,13
socially,13
map,13
useful,13
inability,13
distinct,13
disproportionately,13
abused,13
subsequently,13
organise,13
suggestion,13
arising,13
reserv,13
ukrainethe,13
brief,13
haiti,13
multisectoral,13
myanmar,13
offensive,13
representing,13
bringing,13
favour,13
qualified,13
investigated,13
balkan,13
grade,13
nofo,13
cfr,13
preferably,13
checklist,13
